depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
WARANGAL-I,AKO3,PVG,53,SIDDIPET,06:50,20:00,348,4,87,18.4,0
WARANGAL-I,SD18,PVG,53,SIDDIPET,08:20,20:15,348,4,87,18.4,0
WARANGAL-I,SO31,PVG,53,SNGR-NPR,06:10,20:15,410,8,51.25,18.4,0
WARANGAL-I,HTN1,PVG,53,THATIKONDA-NSPT,07:05,20:50,420,10,42,18.4,1
WARANGAL-I,PRR1,PVG,53,ENR-PERURU,14:00,12:00,472,8,59,18.4,0
WARANGAL-I,BDE9,PE,51,BDCM,05:15,16:15,424,3,141.3333333,29.53,0
WARANGAL-I,KME1,PE,51,KHAMMAM,06:40,20:10,494,4,123.5,29.53,0
WARANGAL-I,KH01,PE,51,KLSM-HYD,06:20,19:25,526,3,175.3333333,29.53,0
WARANGAL-I,KH02,PE,51,KLSM-HYD,05:40,18:45,526,3,175.3333333,29.53,0
WARANGAL-I,NE09,PE,51,NIZAMBAD,03:45,17:40,474,2,237,29.53,0
WARANGAL-I,NE11,PE,51,NIZAMBAD,08:25,21:15,446,2,223,29.53,0
WARANGAL-I,NE52,PE,51,NIZAMBAD,07:40,22:10,474,2,237,29.53,0
WARANGAL-I,NZB2,PE,51,NIZAMBAD,10:00,00:50,474,2,237,29.53,0
WARANGAL-I,AKO1,PO,55,AKPT,16:00,11:30,312,6,52,29.53,0
WARANGAL-I,AKO2,PO,55,AKPT,05:30,17:45,312,6,52,29.53,0
WARANGAL-I,JFO1,PO,55,JFGADH,06:00,19:05,338,8,42.25,29.53,0
WARANGAL-I,KBO1,PO,55,KDR-BRPL,13:30,11:10,324,8,40.5,29.53,0
WARANGAL-I,NSO1,PO,55,NSPT,06:00,17:45,336,10,33.6,29.53,0
WARANGAL-I,NSO2,PO,55,NSPT,07:30,19:10,336,10,33.6,29.53,0
WARANGAL-I,PKO1,PO,55,NSPT,06:45,18:30,336,10,33.6,29.53,0
